ANNO;CODICE_ATENEO;NOME_ATENEO;REGIONE;AREA_GEO;Cod_qualifica;Desc_qualifica;GENERE;Età_MEDIA
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;43,0
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;48,0
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;49,4
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;54,6
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;42,0
2020;00701;Aosta - Università degli studi;Valle d'Aosta;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;33,0
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58,3
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57,4
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;2PA;Prof. II fascia (associato);F;50,9
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;2PA;Prof. II fascia (associato);M;52,1
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39,1
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,0
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,2
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;40,4
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;53,2
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;52,8
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32,8
2020;01001;Genova - Università degli studi;Liguria;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33,3
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;56,3
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;54,8
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;56,6
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;56,1
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;40,0
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;39,0
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,0
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;48,0
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;48,0
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;51,0
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32,7
2020;01201;"Castellanza - Università ""Carlo Cattaneo""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;31,3
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;57,5
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58,0
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;50,3
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;53,6
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;42,5
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;36,2
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;38,4
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;41,1
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;53,0
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;51,3
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33,2
2020;01202;Varese - Università dell' Insubria;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32,8
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;64,0
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;48,0
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;46,7
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;43,1
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;45,9
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;40,7
2020;01301;"Novedrate (CO) - Università telematica ""e-Campus""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;43,0
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;59,2
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;58,5
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;51,3
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;51,3
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;38,5
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;37,8
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;39,9
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;39,6
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;54,2
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;54,7
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;33,2
2020;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;33,5
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;55,9
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;56,7
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;50,5
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;49,4
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;35,8
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;35,8
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;40,6
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;39,1
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;51,9
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;52,7
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;31,4
2020;01502;Milano - Politecnico;Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;30,2
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;51,4
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;54,8
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;50,1
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;51,5
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;35,6
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;34,6
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;36,7
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;39,4
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;53,8
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;55,1
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;30,8
2020;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;32,8
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);F;58,0
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;1PO;Prof. I fascia (ordinario);M;57,9
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);F;53,1
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;2PA;Prof. II fascia (associato);M;54,3
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;F;42,6
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo B;M;41,8
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;M;40,2
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RTD;Ricercatore a tempo determinato L. 240/2010 tipo A;F;39,6
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;M;57,4
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;3RU;Ricercatore a tempo indeterminato;F;55,1
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;F;34,5
2020;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;4AR;Titolare di assegno di ricerca;M;34,4
